,adipose_tissue,breast_glands,cancer_in_situ,connective_tissue,immune_infiltrate,invasive_cancer
adipose_tissue,0.0,2.3263024193423854,2.870238884164557,0.2292122322045532,1.9506870436614978,2.2066270998909956
breast_glands,2.3263024193423854,0.0,2.2122103414978707,1.1344125569146946,1.6804464774347536,1.7983642757251688
cancer_in_situ,2.870238884164557,2.2122103414978707,0.0,2.053278424163491,1.0067903263375142,0.2430534510214084
connective_tissue,0.2292122322045532,1.1344125569146946,2.053278424163491,0.0,1.7687956885658456,2.5388815203684727
immune_infiltrate,1.9506870436614978,1.6804464774347536,1.0067903263375142,1.7687956885658456,0.0,0.6696120500832903
invasive_cancer,2.2066270998909956,1.7983642757251688,0.2430534510214084,2.5388815203684727,0.6696120500832903,0.0
