,KS_similarity,weight,weighted_KS_similarity,above_min_similarity_level,selected_by_main_rule,selected,selection_cutoff,max_score,min_similarity_level,no_ref_above_min_level
H1,0.902382930378049,1.0,0.902382930378049,True,True,True,0.7670254908213416,0.902382930378049,0.75,False
E1,0.6978710941481773,0.6324555320336759,0.44137243414040894,False,False,False,0.7670254908213416,0.902382930378049,0.75,False
G2,0.6853072345461095,0.7745966692414834,0.5308367012865085,False,False,False,0.7670254908213416,0.902382930378049,0.75,False
