,obs_sil,perm_mean,perm_std,adj_sil,z,p_value,stability,union_gene_size,max_gene_size,gene_score,n_spots_region,log_n_spots_region,log_union_gene_size,log_max_gene_size,adjusted_gene_score,hetero_score,hetero_score_sca
cancer_in_situ,0.5357046031212556,0.0015672480229999178,0.010670898271211498,0.5341373550982557,50.055519364215435,0.009900990099009901,0.0,20,10,1.0,3997,8.293549515060345,3.044522437723423,2.3978952727983707,1.269664472948575,0.6781752234429727,1.0
immune_infiltrate,0.45892718463645954,-0.00898648760808972,0.010243400971724045,0.4679136722445493,45.679523186732794,0.009900990099009901,0.07636738906088751,26,10,0.9236326109391125,8029,8.990939806940807,3.295836866004329,2.3978952727983707,1.2695059889852538,0.5940192092425384,0.8615087643117576
invasive_cancer,0.32752166143503014,-0.0034034904354541236,0.0016104572575924739,0.33092515187048427,205.48521241706848,0.009900990099009901,0.037037037037037035,28,10,0.962962962962963,15293,9.63521587360417,3.367295829986474,2.3978952727983707,1.3522613795524425,0.4474973023969826,0.6203851782290193
