,obs_sil,perm_mean,perm_std,adj_sil,z,p_value
cancer_in_situ,0.5357046031212556,0.0015672480229999178,0.010670898271211498,0.5341373550982557,50.055519364215435,0.009900990099009901
immune_infiltrate,0.45892718463645954,-0.00898648760808972,0.010243400971724045,0.4679136722445493,45.679523186732794,0.009900990099009901
connective_tissue,0.33112830263772963,-0.007022225037274323,0.005803549717786196,0.338150527675004,58.266155036184934,0.009900990099009901
invasive_cancer,0.32752166143503014,-0.0034034904354541236,0.0016104572575924739,0.33092515187048427,205.48521241706848,0.009900990099009901
breast_glands,0.20173311872938052,6.454582207783175e-05,0.004742996392825177,0.2016685729073027,42.519233868668216,0.009900990099009901
adipose_tissue,0.098894795776501,1.5254581629112613e-05,0.00044746597427727574,0.09887954119487188,220.97667008893896,0.009900990099009901
