,obs_sil,perm_mean,perm_std,adj_sil,z,p_value,stability,union_gene_size,max_gene_size,gene_score,n_spots_region,log_n_spots_region,log_union_gene_size,log_max_gene_size,adjusted_gene_score,hetero_score,hetero_score_sca
cancer_in_situ,0.5357046031212556,0.0015672480229999178,0.010670898271211498,0.5341373550982557,50.055519364215435,0.009900990099009901,0.0,20,10,1.0,3997,8.293549515060345,3.044522437723423,2.3978952727983707,1.269664472948575,0.6781752234429727,1.0
immune_infiltrate,0.45892718463645954,-0.00898648760808972,0.010243400971724045,0.4679136722445493,45.679523186732794,0.009900990099009901,0.07636738906088751,26,10,0.9236326109391125,8029,8.990939806940807,3.295836866004329,2.3978952727983707,1.2695059889852538,0.5940192092425384,0.8615087643117576
invasive_cancer,0.32752166143503014,-0.0034034904354541236,0.0016104572575924739,0.33092515187048427,205.48521241706848,0.009900990099009901,0.037037037037037035,28,10,0.962962962962963,15293,9.63521587360417,3.367295829986474,2.3978952727983707,1.3522613795524425,0.4474973023969826,0.6203851782290193
connective_tissue,0.33112830263772963,-0.007022225037274323,0.005803549717786196,0.338150527675004,58.266155036184934,0.009900990099009901,0.0,13,10,1.0,10651,9.273502946933823,2.6390573296152584,2.3978952727983707,1.1005723892751367,0.37215913417792734,0.49640501935058484
breast_glands,0.20173311872938052,6.454582207783175e-05,0.004742996392825177,0.2016685729073027,42.519233868668216,0.009900990099009901,0.05263157894736842,19,10,0.9473684210526316,1987,7.59488438721652,2.995732273553991,2.3978952727983707,1.1835638470487513,0.23868763197899875,0.2767578147589944
adipose_tissue,0.098894795776501,1.5254581629112613e-05,0.00044746597427727574,0.09887954119487188,220.97667008893896,0.009900990099009901,0.3333333333333333,12,10,0.6666666666666667,7468,8.918516400357067,2.5649493574615367,2.3978952727983707,0.7131113096161792,0.07051211911572203,0.0
