,stability,union_gene_size,max_gene_size,gene_score,n_spots_region,log_n_spots_region,log_union_gene_size,log_max_gene_size,adjusted_gene_score
invasive_cancer,0.037037037037037035,28,10,0.962962962962963,15293,9.63521587360417,3.367295829986474,2.3978952727983707,1.3522613795524425
cancer_in_situ,0.0,20,10,1.0,3997,8.293549515060345,3.044522437723423,2.3978952727983707,1.269664472948575
immune_infiltrate,0.07636738906088751,26,10,0.9236326109391125,8029,8.990939806940807,3.295836866004329,2.3978952727983707,1.2695059889852538
breast_glands,0.05263157894736842,19,10,0.9473684210526316,1987,7.59488438721652,2.995732273553991,2.3978952727983707,1.1835638470487513
connective_tissue,0.0,13,10,1.0,10651,9.273502946933823,2.6390573296152584,2.3978952727983707,1.1005723892751367
adipose_tissue,0.3333333333333333,12,10,0.6666666666666667,7468,8.918516400357067,2.5649493574615367,2.3978952727983707,0.7131113096161792
